CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,ALL_TOTAL_CO,JAN_VIEWS_CO,FEB_VIEWS_CO,MAR_VIEWS_CO,APR_VIEWS_CO,MAY_VIEWS_CO,JUN_VIEWS_CO,JULY_VIEWS_CO,AUG_VIEWS_CO,SEP_VIEWS_CO,OCT_VIEWS_CO,NOV_VIEWS_CO,DEC_VIEWS_CO,LON,LAT,AREA
c3,숙박,씨에스호텔앤리조트,서귀포시 중문관광로 198,2023,1126,113,104,142,132,118,125,98,79,65,59,52,39,126.420293543,33.242915873,남서
c3,숙박,씨엘블루호텔,제주시 서해안로 368-3,2023,241,24,10,28,29,24,22,22,23,32,14,5,8,126.484990255,33.51163715,북서
c3,숙박,씨오르리조트,서귀포시 이어도로 989,2023,393,38,21,49,63,62,48,24,38,26,13,7,4,126.518950614,33.242740676,남서
c3,숙박,씨제이 관광호텔,제주시 광양8길 24,2023,128,14,8,17,13,20,9,11,4,7,5,7,13,126.527075499,33.499807238,북서
c3,숙박,아델리아빌,제주시 내도9길 8-15,2023,217,25,13,26,23,27,15,14,15,22,15,8,14,126.444256683,33.49377641,북서
c3,숙박,아뜨네통나무펜션,제주시 애월읍 상하귀길 91,2023,252,27,17,37,26,31,24,24,20,15,15,5,11,126.41627507,33.47575291,북서
c3,숙박,아띠랑스 풀앤스파 호텔,서귀포시 성산읍 해맞이해안로 2614,2023,7,0,0,0,0,0,0,0,0,0,0,0,7,126.909108901,33.477525774,북동
c3,숙박,아띠랑스호텔,서귀포시 성산읍 해맞이해안로 2614,2023,177,19,18,23,17,21,15,19,16,11,11,7,0,126.909108901,33.477525774,북동
c3,숙박,아란치아,서귀포시 염돈로 65,2023,71,0,0,0,0,0,0,0,32,14,12,7,6,126.49198604,33.254594117,남서
c3,숙박,아름다운리조트,서귀포시 성산읍 해맞이해안로 2644,2023,422,46,34,46,53,38,44,28,38,40,22,14,19,126.909963065,33.475208008,북동
c3,숙박,아름다운펜션민박,제주시 추자면 영흥4길 62,2023,607,70,36,83,58,47,58,46,51,50,67,28,13,126.297869998,33.958511988,북서
c3,숙박,아리스토캣펜션,제주시 서해안로 518,2023,204,26,14,21,21,40,20,14,14,10,10,6,8,126.494497776,33.51981442,북서
c3,숙박,아림민박,제주시 서해안로 456-8,2023,345,42,23,29,35,40,32,22,19,30,25,30,18,126.48909162,33.517825858,북서
c3,숙박,아마빌레,제주시 애월읍 애월해안로 909,2023,202,22,24,23,34,29,12,12,12,13,11,7,3,126.392587096,33.48473085,북서
c3,숙박,아모렉스리조트,제주시 서해안로 216,2023,422,60,31,46,52,43,46,27,36,33,23,14,11,126.470268757,33.507502253,북서
c3,숙박,아모르하우스,제주시 구좌읍 해맞이해안로 2060-18,2023,191,31,13,18,27,28,15,9,25,8,11,6,0,126.901624048,33.508229952,북동
c3,숙박,아모르하우스 오션뷰펜션,제주시 구좌읍 해맞이해안로 2060-18,2023,7,0,0,0,0,0,0,0,0,0,0,0,7,126.901624048,33.508229952,북동
c3,숙박,아스타호텔,제주시 서사로 129,2023,255,33,12,32,30,35,18,20,15,21,13,13,13,126.520239322,33.500863046,북서
c3,숙박,아올키즈펜션,서귀포시 안덕면 사계중앙로 13-15,2023,292,26,27,33,44,47,25,32,15,19,7,6,11,126.297989927,33.230164183,남서
c3,숙박,아이랑키즈펜션,제주시 애월읍 고내로7길 34,2023,1753,217,277,308,346,275,139,67,34,32,22,17,19,126.337477273,33.465708002,북서
c3,숙박,아이미 제주비치 호텔,제주시 조천읍 조함해안로 474,2023,246,30,15,33,35,26,20,19,19,21,13,6,9,126.663337838,33.543303967,북동
c3,숙박,아이비테라스,서귀포시 법환상로 65,2023,528,79,53,54,66,57,63,27,35,39,27,14,14,126.51018964,33.240603087,남서
c3,숙박,아이존호텔,제주시 신광로4길 18,2023,122,27,10,15,11,14,9,7,3,16,2,6,2,126.488197313,33.489035057,북서
c3,숙박,아이콘민박,제주시 추자면 신양서길 42-17,2023,134,24,10,22,12,12,11,12,5,13,13,0,0,126.321231916,33.943595902,북서
c3,숙박,아이콘펜션,제주시 추자면 신양서길 42,2023,144,16,17,34,24,28,25,0,0,0,0,0,0,126.321183494,33.942539162,북서
c3,숙박,아이콘펜션,제주시 추자면 신양서길 42-17,2023,132,0,0,0,0,0,0,36,24,35,23,14,0,126.321231916,33.943595902,북서
c3,숙박,아인피플호텔,제주시 논세길 51,2023,180,18,11,19,17,22,15,18,13,19,11,10,7,126.442317464,33.489426001,북서
c3,숙박,아일랜드펜션,서귀포시 성산읍 금백조로131번길 176,2023,6,0,0,0,0,0,0,0,0,0,0,0,6,126.844207194,33.431116268,북동
c3,숙박,아침의 새소리,서귀포시 남원읍 태수로358번길 3-1,2023,396,89,49,65,60,49,28,15,14,12,10,5,0,126.722353699,33.311059757,남동
c3,숙박,아침의 새소리펜션,서귀포시 남원읍 태수로358번길 3-1,2023,10,0,0,0,0,0,0,0,0,0,0,0,10,126.722353699,33.311059757,남동
c3,숙박,아침의향기,서귀포시 색달중앙로 122,2023,244,28,15,60,28,21,16,13,13,19,14,9,8,126.414458102,33.265667878,남서
c3,숙박,아침해변,제주시 조천읍 조함해안로 76-9,2023,179,24,14,16,20,23,14,12,14,8,16,5,13,126.637794915,33.543955751,북동
c3,숙박,아쿠아뷰티크,제주시 구좌읍 해맞이해안로 522,2023,1,0,0,0,0,0,0,0,0,0,0,0,1,126.801457495,33.556831192,북동
c3,숙박,아쿠아뷰티크,제주시 구좌읍 해맞이해안로 526,2023,225,33,16,28,34,24,22,15,19,15,14,5,0,126.801549094,33.557158546,북동
c3,숙박,아템파우제,제주시 한림읍 월림8길 21,2023,142,13,9,13,13,20,20,11,11,14,10,7,1,126.257720425,33.350455375,남서
c3,숙박,아토하우스,서귀포시 남원읍 신흥앞동산로 84,2023,89,20,3,8,6,12,7,6,3,8,5,4,7,126.767824199,33.308774723,남동
c3,숙박,아트모텔,제주시 신대로20길 48,2023,182,25,13,18,16,26,14,12,12,14,15,4,13,126.49121879,33.48393316,북서
c3,숙박,아프리카게스트하우스,제주시 조천읍 신흥로2길 33,2023,231,23,17,22,10,24,25,13,19,20,20,21,17,126.651505511,33.5489556,북동
c3,숙박,안녕김녕sea,제주시 구좌읍 구좌해안로 178,2023,508,30,33,56,40,58,45,40,39,35,31,34,67,126.731388802,33.559341893,북동
c3,숙박,안녕프로젝트 게스트하우스,제주시 구좌읍 동복로2길 12,2023,131,12,6,15,17,12,20,12,12,10,7,2,6,126.712251285,33.552047897,북동
c3,숙박,안트레 펜션,제주시 한림읍 한림중앙로 154-7,2023,243,22,20,22,23,32,30,23,15,14,20,13,9,126.269670871,33.402293548,북서
c3,숙박,알랑가게스트하우스,서귀포시 안덕면 사계남로153번길 2,2023,174,24,18,16,16,24,12,12,14,12,10,6,10,126.306522366,33.228871481,남서
c3,숙박,알로하민박,제주시 한림읍 협재1길 24,2023,297,29,37,35,24,23,39,24,30,18,15,13,10,126.243173898,33.397285384,북서
c3,숙박,알앤비타운,서귀포시 분토왓로174번길 45,2023,222,33,21,35,22,27,11,15,14,8,13,19,4,126.551864012,33.279757129,남동
c3,숙박,애견동반 상추네,서귀포시 검은여로 81-3,2023,9,0,0,0,0,0,0,0,0,0,0,0,9,126.58068777,33.250593984,남동
c3,숙박,애월포구풍경,제주시 애월읍 애월로11길 18,2023,340,41,31,46,38,45,38,26,23,21,20,3,8,126.320795217,33.46589285,북서
c3,숙박,애월해안누리펜션(구 하얀둥지펜션),제주시 애월읍 애월해안로 298,2023,468,62,48,74,54,59,53,31,21,20,18,12,16,126.341420123,33.470517254,북서
c3,숙박,야스라기펜션,제주시 애월읍 상귀서길 82-34,2023,237,36,16,24,31,26,21,17,15,19,19,3,10,126.404390372,33.463774644,북서
c3,숙박,야크마을,서귀포시 색달중앙로 162,2023,1558,145,220,153,114,114,251,116,102,100,89,69,85,126.419120279,33.269153374,남서
c3,숙박,야호비치하우스,제주시 조천읍 조함해안로 582,2023,574,64,47,60,62,57,58,58,48,43,24,31,22,126.673722381,33.543964881,북동
c3,숙박,약천골민박,서귀포시 이어도로 303,2023,223,24,25,18,23,17,10,16,20,14,14,19,23,126.45189573,33.243281371,남서
c3,숙박,언니게스트하우스,제주시 구좌읍 대수길 10-12,2023,189,20,18,28,20,19,13,11,17,13,13,5,12,126.839438988,33.536420708,북동
c3,숙박,언니네여인숙,제주시 구좌읍 종달논길 54,2023,586,63,43,65,73,65,49,38,35,33,28,32,62,126.899500241,33.492386542,북동
c3,숙박,언덕위에 빨간지붕,서귀포시 성산읍 난고로499번길 17,2023,510,50,40,58,57,46,41,38,29,47,41,46,17,126.871610527,33.404913594,북동
c3,숙박,엄블랑펜션,서귀포시 안덕면 형제해안로132번길 15-24,2023,274,30,28,26,28,34,27,27,25,28,16,3,2,126.292127844,33.221061132,남서
c3,숙박,에너벨리민박,제주시 한림읍 한림로 356,2023,208,26,11,20,29,34,21,19,17,12,12,4,3,126.241866378,33.394845934,북서
c3,숙박,에띠에리조트,서귀포시 이어도로 738,2023,214,38,14,22,15,22,10,16,21,18,8,18,12,126.494066323,33.235233779,남서
c3,숙박,에리두 Cafe n Beds,서귀포시 대포복개로 37,2023,284,40,12,34,36,43,30,28,23,19,8,4,7,126.434586015,33.241835211,남서
c3,숙박,에메랄드하우스,서귀포시 안덕면 신화역사로 545-66,2023,216,0,0,0,0,0,0,0,52,26,45,42,51,126.348810997,33.315599038,남서
c3,숙박,에바다라이더하우스.공방,서귀포시 성산읍 고성중앙로 7-8,2023,193,18,18,17,16,21,18,16,17,23,16,10,3,126.904333958,33.446919385,북동
c3,숙박,에스호텔,제주시 오일장중길 26,2023,149,27,10,20,17,19,13,13,8,9,7,4,2,126.471327597,33.495551628,북서
c3,숙박,에이지하우스,서귀포시 표선면 돈오름로23번길 36-46,2023,151,23,15,12,11,21,15,13,10,11,11,4,5,126.806269915,33.335255945,남동
